관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11440-00036,성황당어린이공원,어린이공원,,서울특별시 마포구 성산동 147-5,37.569036,126.907328,1367,,,,,,1971-05-05,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00037,큰길어린이공원,어린이공원,,서울특별시 마포구 성산동 200-50,37.567792,126.9082419,942,,,,,,1970-03-26,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00038,쌍둥이어린이공원,어린이공원,,서울특별시 마포구 성산동 200-335,37.565742,126.906753,905,,,,,,1980-02-02,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00039,성사천어린이공원,어린이공원,,서울특별시 마포구 성산동 199-11,37.565373,126.904868,166,,,,,,1986-04-30,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00040,중동소어린이공원,어린이공원,,서울특별시 마포구 중동 36-27,37.57067636,126.906726,779,,,,,,1985-04-12,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00041,중동어린이공원,어린이공원,,서울특별시 마포구 중동 228,37.568461,126.910438,377,,,,,,1985-04-12,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00042,샘터어린이공원,어린이공원,,서울특별시 마포구 중동 36-34,37.569894,126.906749,123,,,,,,1986-04-30,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00043,개나리어린이공원,어린이공원,,서울특별시 마포구 중동 40-5 일대,37.569918,126.909182,1481,,,,,,1986-04-30,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00044,새누리어린이공원,어린이공원,,서울특별시 마포구 상암동 1619,37.575503,126.898226,2897,,,,,,2000-09-27,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00045,휴암어린이공원,어린이공원,,서울특별시 마포구 상암동 14-5,37.577136,126.895662,921,,,,,,2004-10-09,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00046,부엉바위어린이공원,어린이공원,,서울특별시 마포구 상암동 1636,37.575395,126.892472,1511,,,,,,2000-09-27,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00047,물치어린이공원,어린이공원,,서울특별시 마포구 상암동 1656,37.577694,126.887921,1522,,,,,,2000-09-27,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00048,귀리어린이공원,어린이공원,,서울특별시 마포구 상암동 1681,37.581473,126.880714,1504,,,,,,2000-09-27,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00001,상암공원,근린공원,,서울특별시 마포구 상암동 산26-39,37.578696,126.883265,161153,,,,,,2000-09-27,서울특별시 마포구청,02-3153-9553,2024-12-05
11440-00002,매봉산공원,근린공원,,서울특별시 마포구 상암동 1631,37.573807,126.8955799,13137,,,,,,2006-11-16,서울특별시 마포구청,02-3153-9557,2024-12-05
11440-00003,구룡공원,근린공원,,서울특별시 마포구 상암동 1583,37.582791,126.883713,14287,,,,,,2000-09-27,서울특별시 마포구청,02-3153-9557,2024-12-05
11440-00004,와우공원,근린공원,,서울특별시 마포구 창전동3-231 등 59필지,37.552344,126.928984,73590,,,,,,1940-03-12,서울특별시 마포구청,02-3153-9557,2024-12-05
11440-00005,부엉이공원,근린공원,,서울특별시 마포구 상암동1735,37.58464695,126.8832829,17640,,,,,,2006-09-07,서울특별시 마포구청,02-3153-9557,2024-12-05
11440-00006,성산공원,근린공원,,서울특별시 마포구 성산동산11-1 등 38필지,37.562212,126.909895,103962,,,,,,1966-02-05,서울특별시 마포구청,02-3153-9553,2024-12-05
11440-00007,쌍룡산공원,근린공원,,서울특별시 마포구 아현동 768,37.552928,126.950388,5791,,,,,,2005-12-29,서울특별시 마포구청,02-3153-9557,2024-12-05
11440-00008,샛터공원,근린공원,,서울특별시 마포구 성산동200-326 등 19필지,37.566196,126.906188,31100,,,,,,1977-07-09,서울특별시 마포구청,02-3153-9557,2024-12-05
11440-00009,노고산공원,근린공원,,서울특별시 마포구 대흥동 산1-30등17필지,37.551503,126.943063,528936,,,,,,1940-03-12,서울특별시 마포구청,02-3153-9557,2024-12-05
11440-00010,큰더기어린이공원,어린이공원,,서울특별시 마포구 공덕동 470-1,37.550169,126.953199,1949,,,,,,2006-12-28,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00011,공덕역어린이공원,어린이공원,,"서울특별시 마포구 공덕동 467-1,2,3",37.545107,126.951301,2435,,,,,,1985-12-24,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00012,마포어린이공원,어린이공원,,서울특별시 마포구 마포동 350-5,37.535803,126.943667,2030,,,,,,1984-12-04,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00013,복사꽃어린이공원,어린이공원,,서울특별시 마포구 도화동 533,37.538935,126.946352,1553,,,,,,1980-05-19,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00014,도화소어린이공원,어린이공원,,서울특별시 마포구 도화동 540,37.541053,126.945355,1646,,,,,,1985-12-24,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00015,삼개어린이공원,어린이공원,,서울특별시 마포구 도화동 555-1,37.540357,126.945076,3029,,,,,,1984-12-04,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00016,대흥어린이공원,어린이공원,,서울특별시 마포구 대흥동 660-1,37.543749,126.943687,1486,,,,,,1999-11-20,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00049,목련어린이공원,어린이공원,,서울특별시 마포구 상암동1742,37.58737473,126.880225,1501,,,,,,2006-09-07,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00050,산수유어린이공원,어린이공원,,서울특별시 마포구 상암동1744,37.585485,126.879008,2011,,,,,,2006-09-07,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00051,산딸나무어린이공원,어린이공원,,서울특별시 마포구 상암동1753,37.583547,126.877927,1499,,,,,,2006-09-07,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00052,애오개도담어린이공원,어린이공원,,서울특별시 마포구 아현동 800-6,37.553433,126.958529,3212,,,,,,2006-07-13,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00053,쌍룡산어린이공원,어린이공원,,서울특별시 마포구 아현동 769,37.552173,126.950512,5911,,,,,,2005-12-29,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00054,토정어린이공원,어린이공원,,서울특별시 마포구 용강동 63-2,37.540558,126.943411,2631,,,,,,2008-06-26,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00055,애오개어린이공원,어린이공원,,서울특별시 마포구 아현동 802번지 일대,37.555353,126.958672,1424,,,,,,2010-04-22,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00056,망원어린이공원,어린이공원,,서울특별시 마포구 망원동 458-64,37.552132,126.904303,2862,,,,,,2011-02-10,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00057,광흥창어린이공원,어린이공원,,서울특별시 마포구 창전동 26-1,37.549512,126.930846,1353,,,,,,2009-12-10,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00058,신수어린이공원,어린이공원,,서울특별시 마포구 신수동 95-5일원,37.550366,126.933878,3792.2,,,,,,2009-10-29,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00059,염리어린이공원,어린이공원,,서울특별시 마포구 염리동 533-10,37.549782,126.9464197,1933,,,,,,2008-01-10,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00060,공덕소공원,소공원,,서울특별시 마포구 공덕동 475-1일대,37.548506,126.954637,1310,,,,,,1981-11-13,서울특별시 마포구청,02-3153-9555,2024-12-05
11440-00061,만리재소공원,소공원,,서울특별시 마포구 신공덕동 176,37.544438,126.955226,883,,,,,,2007-04-12,서울특별시 마포구청,02-3153-9555,2024-12-05
11440-00062,단풍소공원,소공원,,서울특별시 마포구 공덕동 470-3,37.548729,126.953344,274,,,,,,2006-12-28,서울특별시 마포구청,02-3153-9555,2024-12-05
11440-00063,아현새싹소공원,소공원,,서울특별시 마포구 아현동 786,37.551847,126.954409,613,,,,,,2005-12-29,서울특별시 마포구청,02-3153-9555,2024-12-05
11440-00064,아현초록소공원,소공원,,서울특별시 마포구 아현동 776,37.554389,126.953208,1035,,,,,,2005-12-29,서울특별시 마포구청,02-3153-9555,2024-12-05
11440-00065,용강나루소공원,소공원,,서울특별시 마포구 용강동 506,37.541863,126.942271,1088,,,,,,2008-06-26,서울특별시 마포구청,02-3153-9555,2024-12-05
11440-00066,용강소공원,소공원,,서울특별시 마포구 용강동 507,37.543026,126.940308,951,,,,,,2008-06-26,서울특별시 마포구청,02-3153-9555,2024-12-05
11440-00067,대흥소공원,소공원,,서울특별시 마포구 대흥동 804-4,37.548567,126.941091,1820,,,,,,2007-06-14,서울특별시 마포구청,02-3153-9555,2024-12-05
11440-00068,복자기소공원,소공원,,서울특별시 마포구 신수동 460,37.545885,126.936601,707,,,,,,2009-10-15,서울특별시 마포구청,02-3153-9555,2024-12-05
11440-00069,상수나루소공원,소공원,,서울특별시 마포구 상수동 402-2,37.54610993,126.926336,1359,,,,,,2007-07-19,서울특별시 마포구청,02-3153-9555,2024-12-05
11440-00070,상수소공원,소공원,,서울특별시 마포구 상수동 399,37.545926,126.927163,1413,,,,,,2007-07-19,서울특별시 마포구청,02-3153-9555,2024-12-05
11440-00071,산사나무소공원,소공원,,서울특별시 마포구 상암동 1618-1,37.575268,126.896265,714,,,,,,1990-10-19,서울특별시 마포구청,02-3153-9555,2024-12-05
11440-00072,현석소공원,소공원,,서울특별시 마포구 현석동 225-2일대,37.542983,126.934492,6038,,,,,,2009-12-03,서울특별시 마포구청,02-3153-9555,2024-12-05
11440-00073,노고산소공원,소공원,,서울특별시 마포구 노고산동 57-53,37.555063,126.935013,1510,,,,,,2011-09-29,서울특별시 마포구청,02-3153-9555,2024-12-05
11440-00074,무쇠막소공원,소공원,,서울특별시 마포구 노고산동 123-1일원,37.552612,126.934174,449.1,,,,,,2010-05-06,서울특별시 마포구청,02-3153-9555,2024-12-05
11440-00075,독막소공원,소공원,,서울특별시 마포구 대흥동 18-101일대,37.554491,126.943779,2626,,,,,,2007-12-27,서울특별시 마포구청,02-3153-9555,2024-12-05
11440-00076,아소정소공원,소공원,,서울특별시 마포구 공덕동 479-1,37.545468,126.9481693,1454.8,,,,,,2011-09-08,서울특별시 마포구청,02-3153-9555,2024-12-05
11440-00077,큰우물소공원,소공원,,서울특별시 마포구 공덕동 479-4,37.545536,126.9496393,547.4,,,,,,2011-09-08,서울특별시 마포구청,02-3153-9555,2024-12-05
11440-00078,소금동네소공원,소공원,,서울특별시 마포구 염리동 532-8,37.554097,126.9462813,1217.9,,,,,,2012-06-07,서울특별시 마포구청,02-3153-9555,2024-12-05
11440-00079,쌍룡산소공원,소공원,,서울특별시 마포구 염리동 533-1,37.55174941,126.9501341,885.9,,,,,,2008-01-10,서울특별시 마포구청,02-3153-9555,2024-12-05
11440-00080,밤섬문화공원,문화공원,,서울특별시 마포구 신정동 76-1,37.542784,126.931869,1638,,,,,,2009-06-04,서울특별시 마포구청,02-3153-9555,2024-12-05
11440-00081,서강나루문화공원,문화공원,,서울특별시 마포구 창전동 165-5,37.54527293,126.931077,2429,,,,,,2009-06-04,서울특별시 마포구청,02-3153-9555,2024-12-05
11440-00082,당인동문화공원,문화공원,,서울특별시 마포구 당인동 27-9,37.545411,126.920154,301,,,,,,2009-06-04,서울특별시 마포구청,02-3153-9555,2024-12-05
11440-00083,가온문화공원,문화공원,,서울특별시 마포구 상암동 1594,37.581827,126.887611,4631,,,,,,2000-09-27,서울특별시 마포구청,02-3153-9555,2024-12-05
11440-00084,DMC문화공원,문화공원,,서울특별시 마포구 상암동 1611,37.578087,126.892245,3829,,,,,,2009-09-27,서울특별시 마포구청,02-3153-9555,2024-12-05
11440-00085,물빛문화공원,문화공원,,"서울특별시 마포구 상암동 1608,1609",37.58003606,126.893162,5827,,,,,,2009-09-27,서울특별시 마포구청,02-3153-9555,2024-12-05
11440-00086,휴암문화공원,문화공원,,서울특별시 마포구 상암동 670,37.584722,126.8781707,5285,,,,,,2012-05-24,서울특별시 마포구청,02-3153-9555,2024-12-05
11440-00087,홍익문화공원,문화공원,,서울특별시 마포구 서교동 359,37.552186,126.922987,2230,,,,,,1963-04-26,서울특별시 마포구청,02-3153-9555,2024-12-05
11440-00088,양화진역사공원,역사공원,,서울특별시 마포구 합정동 139-21 일대,37.545546,126.911201,4804,,,,,,2009-06-04,서울특별시 마포구청,02-3153-9555,2024-12-05
11440-00089,외국인묘지공원,묘지공원,,서울특별시 마포구 합정동145-3 등 10필지,37.546524,126.911775,13224,,,,,,1965-05-06,서울특별시 마포구청,02-3153-9555,2024-12-05
11440-00090,아현어울림소공원,소공원,,서울특별시 아현동 591-62일대,37.5563985,126.9507057,4429.6,,,,,,2011-11-24,서울특별시 마포구청,02-3153-9555,2024-12-05
